792,Private Saigo
793,Colonel Baron Nishi
794,Private Shimizu
795,Lieutenant Ito
796,Lieutenant Fujita
797,Lieutenant Okubo
798,Sam
799,Private Nozaki
800,Lt. Colonel Oiso
801,Medic Endo
802,Kanda
803,Captain Iwasaki
804,Colonel Adachi
805,Maj. General Hayashi
806,Ozawa
807,Lead Woman
808,Admiral Ichimaru
809,Elmer C. Robinson
810,Charles Hildebrandt
811,Martha Beck
812,Raymond Martinez Fernandez
813,Rene
814,D.A. Hunt
815,Eddie Robinson
816,Janet Long
817,Delphine Downing
818,Rainelle Downing
819,Det. Eastman
820,Chief MacSwain
821,Ida
822,Officer Chetnick
823,Foreman
824,Uniformed Cop
825,Will Francis
826,Amira
827,Oana
828,Liv
829,Sandy
830,Miro
831,Bea
832,Bruno Fella
833,Zoran
834,Kate
835,PC Primus
836,Rosemary
837,Legge
838,Vlado
839,Lili
840,Paul Tellier
841,Isabelle Tellier
842,Thomas
843,Le psychiatre
844,Loïc
845,L'ami de Loïc
846,Léa
847,Park Gang-du
848,Park Nam-il
849,Park Nam-joo
850,Park Hyun-seo
851,Park Hie-bong
852,American Doctor
853,Nina
854,Clemens
855,Martin
856,Alex
857,Berger
858,Elisabeth
859,Krankenschwester
860,Kerstin
861,Kogler
862,Mona
863,Patrick
864,Erika Haas
865,Manfred Haas
866,Fabian Haas
867,Hans
868,Daphne
869,Milly
870,Johnny
871,Jason
872,Maggie
873,Mae
874,Joe
875,Lionel
876,Eli
877,Derek
878,Stuart
879,Dinner Party Guest (uncredited)
880,Barbara Covett
881,Sheba Hart
882,Richard Hart
883,Polly Hart
884,Ben Hart
885,Steven Connolly
886,Sandy Pabblem
887,Sue Hodge
888,Bill Rumer
889,Linda
890,Gita
891,Elaine Clifford
892,Sheba’s Mother
893,Saskia
894,Eddie
895,Mr. Connolly
896,Mrs. Connolly
897,Annabel
898,Lotte (voice)
899,Albert/Theodor (voice)
900,Bruno (voice)
901,Oskar (voice)
902,Anna
903,Mati (voice)
904,Paula (voice)
905,Adalbert (voice)
906,Susumu (voice)
907,Sophie (voice)
908,Jaak (voice)
909,Klaus (voice)
910,James (voice)
911,John (voice)
912,Harold Crick
913,Ana Pascal
914,Professor Jules Hilbert
915,Karen Eiffel
916,Penny Escher
917,Junge
918,Bus Fahrer
919,Vater des Junge
920,IRS Co-Arbeiter
921,Dave
922,Polische Frau
923,IRS Co-Worker #5
924,IRS Co-Worker #6
925,Bakery Employee #1
926,Bakery Employee #2
927,IRS Co-Worker #4
928,Bakery Customer #2
929,Homeless Man
930,Man with Hose
931,Dr. Cayly
932,Commuter
933,Dr. Mittag-Leffler
934,Book Channel Host
935,Bakery Customer #4
936,Demolition Foreman
937,Demolition Crew #1
938,Demolition Crew #2
939,ER Nurse #2
940,ER Doctor #3
941,Head ER Nurse
942,Banneker Press Receptionist
943,Accident Witness
944,Accident Witness
945,Doctor Mercator
946,Animal Footage Voice Over (voice)
947,Bakery Patron (uncredited)
948,Business Women (uncredited)
949,Business Women (uncredited)
950,Business Man (uncredited)
951,Augustus Chatman (uncredited)
952,Nurse #3 (uncredited)
953,Dr. Steffen Wesemann
954,Dr. Klaus Kunze
955,Sylvia Göbel
956,Dr. Christiane Tietz
957,Prof. Reinhold Radwanski
958,Werner Vierkötter
959,Prof. Udo Keller
960,Dr. Frank Norbert Stein
961,Hartmuth Probst
962,Herrmann Menzel
963,Prof. Wiebenhartz
964,Lebenspartner Schwangere
965,Patientin
966,Günter Knoethel
967,Schwester Claudia
968,Leon
969,Marlon
970,Vanessa
971,Nerv
972,Maxi
973,Jess Aarons
974,Leslie Burke
975,Ms. Edmunds
976,Mary Aarons
977,May Belle Aarons
978,Jack Aarons
979,Ellie Aarons
980,Bill Burke
981,Judy Burke
982,Joyce Aarons
983,Janice Avery
984,Carla
985,Grandma Burke
986,Madison
987,Principal Turner
988,Mrs. Myers
989,Bus Driver
990,First Grade Girl
991,Mr. Bailey
992,Detective Tom Ludlow
993,Captain Jack Wander
994,Detective Paul Diskant
995,Captain James Biggs
996,Grace Garcia
997,Scribble
998,Linda Washington
999,Coates
1000,Julie Fukashima
1001,Fremont
1002,Grill
1003,Michael Monks
1004,Sgt. Mike Clady
1005,Cornelius Robinson (voice)
1006,Lucille Krunklehorn (voice)
1007,Mildred (voice)
1008,Franny (voice)
1009,Carl (voice)
1010,Lewis (voice)
1011,Lewis (voice)
1012,Michael 'Goob' Yagoobian (voice)
1013,Mr. Harrington (voice)
1014,Mrs. Harrington / Receptionist (voice)
1015,Mr. Willerstein (voice)
1016,Coach / Gaston (voice)
1017,Stanley (voice)
1018,Lizzy (voice)
1019,Wilbur (voice)
1020,Young Franny (voice)
1021,Bowler Hat Guy / Grandpa Bud / Tallulah (voice)
1022,Doris / CEO / Spike / Dmitri / Laszlo / Fritz / Petunia (voice)
1023,Lefty (voice)
1024,Aunt Billie (voice)
1025,Uncle Art (voice)
1026,Frankie (voice)
1027,T-Rex (voice)
1028,Reporter (voice)
1029,Mr. Bean
1030,Stepan
1031,Sabine
1032,Carson Clay
1033,Emil
1034,Vicar
1035,Maître d'hôtel
1036,Pyrotechnician
1037,Chief Inspector Even Longer
1038,Inspector Very Long/ Rosenverkäufer/ Vater von Very Long
1039,Lord David Dickham
1040,Victoria Dickham
1041,Alfons Hatler
1042,Eddie
1043,Sir John
1044,Anstaltsinsasse
1045,Dr. Brinkman
1046,Privatdetektiv Much Longer
1047,Lady Dickham
1048,Schwester Lucipha
1049,Chucky Norris
1050,Inge Lenßen
1051,Dickhams Butler Hudson
1052,Fred Fartwind
1053,Der Junge mit der Mundharmonika
1054,Cookie Dent
1055,Rather Short
